case_id,category,phase,function,params,fm1,f0,f1,f2,truth
P0001,smooth_polynomial,1,quadratic,"{""a"":-0.35,""b"":-0.7,""c"":0.0}",0.35,0.0,-1.0499999999999998,-2.8,-0.2722222222222222
P0002,smooth_polynomial,1,quadratic,"{""a"":-0.35,""b"":-0.7,""c"":0.3}",0.6499999999999999,0.3,-0.7499999999999998,-2.5,0.02777777777777779
P0003,smooth_polynomial,1,quadratic,"{""a"":-0.35,""b"":-0.7,""c"":0.75}",1.1,0.75,-0.2999999999999998,-2.05,0.4777777777777778
P0004,smooth_polynomial,1,quadratic,"{""a"":-0.35,""b"":-0.15,""c"":0.0}",-0.19999999999999998,0.0,-0.5,-1.7,-0.08888888888888888
P0005,smooth_polynomial,1,quadratic,"{""a"":-0.35,""b"":-0.15,""c"":0.3}",0.1,0.3,-0.2,-1.4,0.2111111111111111
P0006,smooth_polynomial,1,quadratic,"{""a"":-0.35,""b"":-0.15,""c"":0.75}",0.55,0.75,0.25,-0.95,0.6611111111111111
P0007,smooth_polynomial,1,quadratic,"{""a"":-0.35,""b"":0.4,""c"":0.0}",-0.75,0.0,0.050000000000000044,-0.5999999999999999,0.09444444444444444
P0008,smooth_polynomial,1,quadratic,"{""a"":-0.35,""b"":0.4,""c"":0.3}",-0.45,0.3,0.35000000000000003,-0.2999999999999999,0.39444444444444443
P0009,smooth_polynomial,1,quadratic,"{""a"":-0.35,""b"":0.4,""c"":0.75}",0.0,0.75,0.8,0.15000000000000013,0.8444444444444444
P0010,smooth_polynomial,1,quadratic,"{""a"":-0.35,""b"":0.9,""c"":0.0}",-1.25,0.0,0.55,0.40000000000000013,0.2611111111111111
P0011,smooth_polynomial,1,quadratic,"{""a"":-0.35,""b"":0.9,""c"":0.3}",-0.95,0.3,0.8500000000000001,0.7000000000000002,0.5611111111111111
P0012,smooth_polynomial,1,quadratic,"{""a"":-0.35,""b"":0.9,""c"":0.75}",-0.5,0.75,1.3,1.1500000000000001,1.011111111111111
P0013,smooth_polynomial,1,quadratic,"{""a"":0.0,""b"":-0.7,""c"":0.0}",0.7,0.0,-0.7,-1.4,-0.2333333333333333
P0014,smooth_polynomial,1,quadratic,"{""a"":0.0,""b"":-0.7,""c"":0.3}",1.0,0.3,-0.39999999999999997,-1.0999999999999999,0.06666666666666668
P0015,smooth_polynomial,1,quadratic,"{""a"":0.0,""b"":-0.7,""c"":0.75}",1.45,0.75,0.050000000000000044,-0.6499999999999999,0.5166666666666667
P0016,smooth_polynomial,1,quadratic,"{""a"":0.0,""b"":-0.15,""c"":0.0}",0.15,0.0,-0.15,-0.3,-0.049999999999999996
P0017,smooth_polynomial,1,quadratic,"{""a"":0.0,""b"":-0.15,""c"":0.3}",0.44999999999999996,0.3,0.15,0.0,0.25
P0018,smooth_polynomial,1,quadratic,"{""a"":0.0,""b"":-0.15,""c"":0.75}",0.9,0.75,0.6,0.45,0.7
P0019,smooth_polynomial,1,quadratic,"{""a"":0.0,""b"":0.4,""c"":0.0}",-0.4,0.0,0.4,0.8,0.13333333333333333
P0020,smooth_polynomial,1,quadratic,"{""a"":0.0,""b"":0.4,""c"":0.3}",-0.10000000000000003,0.3,0.7,1.1,0.43333333333333335
P0021,smooth_polynomial,1,quadratic,"{""a"":0.0,""b"":0.4,""c"":0.75}",0.35,0.75,1.15,1.55,0.8833333333333333
P0022,smooth_polynomial,1,quadratic,"{""a"":0.0,""b"":0.9,""c"":0.0}",-0.9,0.0,0.9,1.8,0.3
P0023,smooth_polynomial,1,quadratic,"{""a"":0.0,""b"":0.9,""c"":0.3}",-0.6000000000000001,0.3,1.2,2.1,0.6
P0024,smooth_polynomial,1,quadratic,"{""a"":0.0,""b"":0.9,""c"":0.75}",-0.15000000000000002,0.75,1.65,2.55,1.05
P0025,smooth_polynomial,1,quadratic,"{""a"":0.25,""b"":-0.7,""c"":0.0}",0.95,0.0,-0.44999999999999996,-0.3999999999999999,-0.20555555555555555
P0026,smooth_polynomial,1,quadratic,"{""a"":0.25,""b"":-0.7,""c"":0.3}",1.25,0.3,-0.14999999999999997,-0.09999999999999992,0.09444444444444444
P0027,smooth_polynomial,1,quadratic,"{""a"":0.25,""b"":-0.7,""c"":0.75}",1.7,0.75,0.30000000000000004,0.3500000000000001,0.5444444444444445
P0028,smooth_polynomial,1,quadratic,"{""a"":0.25,""b"":-0.15,""c"":0.0}",0.4,0.0,0.1,0.7,-0.02222222222222222
P0029,smooth_polynomial,1,quadratic,"{""a"":0.25,""b"":-0.15,""c"":0.3}",0.7,0.3,0.4,1.0,0.2777777777777778
P0030,smooth_polynomial,1,quadratic,"{""a"":0.25,""b"":-0.15,""c"":0.75}",1.15,0.75,0.85,1.45,0.7277777777777777
P0031,smooth_polynomial,1,quadratic,"{""a"":0.25,""b"":0.4,""c"":0.0}",-0.15000000000000002,0.0,0.65,1.8,0.1611111111111111
P0032,smooth_polynomial,1,quadratic,"{""a"":0.25,""b"":0.4,""c"":0.3}",0.14999999999999997,0.3,0.95,2.1,0.4611111111111111
P0033,smooth_polynomial,1,quadratic,"{""a"":0.25,""b"":0.4,""c"":0.75}",0.6,0.75,1.4,2.55,0.9111111111111111
P0034,smooth_polynomial,1,quadratic,"{""a"":0.25,""b"":0.9,""c"":0.0}",-0.65,0.0,1.15,2.8,0.3277777777777778
P0035,smooth_polynomial,1,quadratic,"{""a"":0.25,""b"":0.9,""c"":0.3}",-0.35000000000000003,0.3,1.45,3.0999999999999996,0.6277777777777778
P0036,smooth_polynomial,1,quadratic,"{""a"":0.25,""b"":0.9,""c"":0.75}",0.09999999999999998,0.75,1.9,3.55,1.0777777777777777
P0037,smooth_polynomial,2,quadratic,"{""a"":-0.35,""b"":-0.7,""c"":0.0}",0.35,0.0,-1.0499999999999998,-2.8,-0.6222222222222221
P0038,smooth_polynomial,2,quadratic,"{""a"":-0.35,""b"":-0.7,""c"":0.3}",0.6499999999999999,0.3,-0.7499999999999998,-2.5,-0.32222222222222213
P0039,smooth_polynomial,2,quadratic,"{""a"":-0.35,""b"":-0.7,""c"":0.75}",1.1,0.75,-0.2999999999999998,-2.05,0.12777777777777788
P0040,smooth_polynomial,2,quadratic,"{""a"":-0.35,""b"":-0.15,""c"":0.0}",-0.19999999999999998,0.0,-0.5,-1.7,-0.25555555555555554
P0041,smooth_polynomial,2,quadratic,"{""a"":-0.35,""b"":-0.15,""c"":0.3}",0.1,0.3,-0.2,-1.4,0.04444444444444445
P0042,smooth_polynomial,2,quadratic,"{""a"":-0.35,""b"":-0.15,""c"":0.75}",0.55,0.75,0.25,-0.95,0.49444444444444446
P0043,smooth_polynomial,2,quadratic,"{""a"":-0.35,""b"":0.4,""c"":0.0}",-0.75,0.0,0.050000000000000044,-0.5999999999999999,0.11111111111111113
P0044,smooth_polynomial,2,quadratic,"{""a"":-0.35,""b"":0.4,""c"":0.3}",-0.45,0.3,0.35000000000000003,-0.2999999999999999,0.4111111111111111
P0045,smooth_polynomial,2,quadratic,"{""a"":-0.35,""b"":0.4,""c"":0.75}",0.0,0.75,0.8,0.15000000000000013,0.8611111111111112
P0046,smooth_polynomial,2,quadratic,"{""a"":-0.35,""b"":0.9,""c"":0.0}",-1.25,0.0,0.55,0.40000000000000013,0.4444444444444444
P0047,smooth_polynomial,2,quadratic,"{""a"":-0.35,""b"":0.9,""c"":0.3}",-0.95,0.3,0.8500000000000001,0.7000000000000002,0.7444444444444445
P0048,smooth_polynomial,2,quadratic,"{""a"":-0.35,""b"":0.9,""c"":0.75}",-0.5,0.75,1.3,1.1500000000000001,1.1944444444444444
P0049,smooth_polynomial,2,quadratic,"{""a"":0.0,""b"":-0.7,""c"":0.0}",0.7,0.0,-0.7,-1.4,-0.4666666666666666
P0050,smooth_polynomial,2,quadratic,"{""a"":0.0,""b"":-0.7,""c"":0.3}",1.0,0.3,-0.39999999999999997,-1.0999999999999999,-0.16666666666666663
P0051,smooth_polynomial,2,quadratic,"{""a"":0.0,""b"":-0.7,""c"":0.75}",1.45,0.75,0.050000000000000044,-0.6499999999999999,0.2833333333333334
P0052,smooth_polynomial,2,quadratic,"{""a"":0.0,""b"":-0.15,""c"":0.0}",0.15,0.0,-0.15,-0.3,-0.09999999999999999
P0053,smooth_polynomial,2,quadratic,"{""a"":0.0,""b"":-0.15,""c"":0.3}",0.44999999999999996,0.3,0.15,0.0,0.2
P0054,smooth_polynomial,2,quadratic,"{""a"":0.0,""b"":-0.15,""c"":0.75}",0.9,0.75,0.6,0.45,0.65
