corpus_id,case_id,source_id,family,crop_tag,crop_x,crop_y,hr_width,hr_height,lr_width,lr_height,scale,input_protocol,reference_path,input_path,sha256_reference,sha256_input
PTAR-PERCEPTUAL-V1-A,SKI-BRICK-A,SKI-BRICK,texture,A,22,34,288,288,192,192,1.5,SKIMAGE_RESIZE_ORDER3_AA_TRUE_SRGB_CODE_VALUES,reference_hr/SKI-BRICK-A_HR.png,input_lr/SKI-BRICK-A_LR.png,9e01889693731c74f3201d538397b907ff495bbb38c7d1c8807010df01448b56,789e99619135c6166e88d35ab003f3ba15daed36e6c2953fd374631a31e1ec6f
PTAR-PERCEPTUAL-V1-A,SKI-BRICK-B,SKI-BRICK,texture,B,112,112,288,288,192,192,1.5,SKIMAGE_RESIZE_ORDER3_AA_TRUE_SRGB_CODE_VALUES,reference_hr/SKI-BRICK-B_HR.png,input_lr/SKI-BRICK-B_LR.png,ff8a549b57220d4f83a9d75488acdf5c932ffc18af46b1c95dc5008f44e938e2,57b070d1f9d1c237dc42fad22eb337d7a1d58cfd70624c6760b576299690bdaa
PTAR-PERCEPTUAL-V1-A,SKI-BRICK-C,SKI-BRICK,texture,C,202,190,288,288,192,192,1.5,SKIMAGE_RESIZE_ORDER3_AA_TRUE_SRGB_CODE_VALUES,reference_hr/SKI-BRICK-C_HR.png,input_lr/SKI-BRICK-C_LR.png,b0ba3037a26bdaf9362ad7eb38c9189e309734dc6af4679fa249e2863892fc6b,d36cf304e3aa82dcca1bf785b5cf87127696180db02c497edb36733dc3feeae7
PTAR-PERCEPTUAL-V1-A,SKI-CAMERA-A,SKI-CAMERA,natural_gray,A,22,34,288,288,192,192,1.5,SKIMAGE_RESIZE_ORDER3_AA_TRUE_SRGB_CODE_VALUES,reference_hr/SKI-CAMERA-A_HR.png,input_lr/SKI-CAMERA-A_LR.png,2da152b083d5a6829b8e410eeb4a8155af5f3f8778ecfd2da258f1b59bd08763,e1719687e894a5275867dedcb17e36275df07a3ba5e0cfb32003cf74b1a94986
PTAR-PERCEPTUAL-V1-A,SKI-CAMERA-B,SKI-CAMERA,natural_gray,B,112,112,288,288,192,192,1.5,SKIMAGE_RESIZE_ORDER3_AA_TRUE_SRGB_CODE_VALUES,reference_hr/SKI-CAMERA-B_HR.png,input_lr/SKI-CAMERA-B_LR.png,4488ca63535eab04e9edd7fffc116247f978125b7acbd8eb57bb30aec9a52b6e,7eeb3635d9a11a5e2935a578a54a9294c44d3b219976b404a7d6e693f8e42d51
PTAR-PERCEPTUAL-V1-A,SKI-CAMERA-C,SKI-CAMERA,natural_gray,C,202,190,288,288,192,192,1.5,SKIMAGE_RESIZE_ORDER3_AA_TRUE_SRGB_CODE_VALUES,reference_hr/SKI-CAMERA-C_HR.png,input_lr/SKI-CAMERA-C_LR.png,02ba7be501fc9cc35f9f8bbe2951f4e60f0251dc7b2c2ec15357ccdf6661f008,f8c200355836858a2e921096f3c8934ba85a1b6eca863ed6e1826a3f6e8d89a9
PTAR-PERCEPTUAL-V1-A,SKI-GRASS-A,SKI-GRASS,foliage_texture,A,22,34,288,288,192,192,1.5,SKIMAGE_RESIZE_ORDER3_AA_TRUE_SRGB_CODE_VALUES,reference_hr/SKI-GRASS-A_HR.png,input_lr/SKI-GRASS-A_LR.png,bc6fa6e10a951f2570d07e0c12ef6e7854fa4df95ca3adc5d7545a83b14b2afe,ed0845845b98541baa783e7e586d6aea1543ad82eb8776caf89fcf19eee8ce9b
PTAR-PERCEPTUAL-V1-A,SKI-GRASS-B,SKI-GRASS,foliage_texture,B,112,112,288,288,192,192,1.5,SKIMAGE_RESIZE_ORDER3_AA_TRUE_SRGB_CODE_VALUES,reference_hr/SKI-GRASS-B_HR.png,input_lr/SKI-GRASS-B_LR.png,a1183cf4e008365a462e4d6938f71f55221ca397bdd8236c8ccada0aa61e9e09,7e36e71ec2f8f2f19feb2bed9091341ec76ea7879d29037463bd5fbfc391d91c
PTAR-PERCEPTUAL-V1-A,SKI-GRASS-C,SKI-GRASS,foliage_texture,C,202,190,288,288,192,192,1.5,SKIMAGE_RESIZE_ORDER3_AA_TRUE_SRGB_CODE_VALUES,reference_hr/SKI-GRASS-C_HR.png,input_lr/SKI-GRASS-C_LR.png,0e10ded595e20b5b715c4297635e0ce2b93fbff4d43e9fa60d1c97bda4a7ada4,e2fe2d12370cd7987bf70005b31a41617c93c8d6eeb0858aa3c3fbbd43f33ceb
PTAR-PERCEPTUAL-V1-A,SKI-GRAVEL-A,SKI-GRAVEL,repeated_texture,A,22,34,288,288,192,192,1.5,SKIMAGE_RESIZE_ORDER3_AA_TRUE_SRGB_CODE_VALUES,reference_hr/SKI-GRAVEL-A_HR.png,input_lr/SKI-GRAVEL-A_LR.png,6bbbd22f39f5d32dc661b27525475b064566f513509f29e8d93ca572c981e06d,9c7621560c21c314ee1bec435c09415da4709a784af38bcfa2397dc9802b2e20
PTAR-PERCEPTUAL-V1-A,SKI-GRAVEL-B,SKI-GRAVEL,repeated_texture,B,112,112,288,288,192,192,1.5,SKIMAGE_RESIZE_ORDER3_AA_TRUE_SRGB_CODE_VALUES,reference_hr/SKI-GRAVEL-B_HR.png,input_lr/SKI-GRAVEL-B_LR.png,f82e95acf24cc5c2be1f66869539daabdf76986e65e6af625b838a22f71b87b3,d11d58351431f284c0e99c70fd5dd18089fee8c0bf3a1a1d652e626dd4ca9c3a
PTAR-PERCEPTUAL-V1-A,SKI-GRAVEL-C,SKI-GRAVEL,repeated_texture,C,202,190,288,288,192,192,1.5,SKIMAGE_RESIZE_ORDER3_AA_TRUE_SRGB_CODE_VALUES,reference_hr/SKI-GRAVEL-C_HR.png,input_lr/SKI-GRAVEL-C_LR.png,f385b9f8752da161170b8ae4c1489a4bdf527665166cbc3755bbb76b193fcd38,f3306597877fa75bd718f20359096184902264c2727eec09ce5f39361975884f
PTAR-PERCEPTUAL-V1-A,SKI-HORSE-A,SKI-HORSE,silhouette_edge,A,11,6,288,288,192,192,1.5,SKIMAGE_RESIZE_ORDER3_AA_TRUE_SRGB_CODE_VALUES,reference_hr/SKI-HORSE-A_HR.png,input_lr/SKI-HORSE-A_LR.png,b5064ee60e5f01df1a780d2c0829a6bbd2c74315f356ebcefa67315f3f93b207,4bd5535dc3df11e8ecbebce3c48b26bf94accf1cbd77b4cefd8ec7f6036c9c64
PTAR-PERCEPTUAL-V1-A,SKI-HORSE-B,SKI-HORSE,silhouette_edge,B,56,20,288,288,192,192,1.5,SKIMAGE_RESIZE_ORDER3_AA_TRUE_SRGB_CODE_VALUES,reference_hr/SKI-HORSE-B_HR.png,input_lr/SKI-HORSE-B_LR.png,d6cc86a5cfff04c45be9e20aca3546a08ee35a64b2ebe9b5030e67d22f9e6124,c9a93c4af0c33b58c8e27c84917f9697dd463e8c824b6e6c8894485384b2509d
PTAR-PERCEPTUAL-V1-A,SKI-HORSE-C,SKI-HORSE,silhouette_edge,C,101,34,288,288,192,192,1.5,SKIMAGE_RESIZE_ORDER3_AA_TRUE_SRGB_CODE_VALUES,reference_hr/SKI-HORSE-C_HR.png,input_lr/SKI-HORSE-C_LR.png,4bd1dca8a2c172b1ce405ae4f7f65c65e290c7e92d31e9251a081d445e44a441,88df87c6f54a2971b3b2d60d0b7c9313f8efa04cf5c1c4d87257b42a33617687
PTAR-PERCEPTUAL-V1-A,SKI-HUBBLE_DEEP_FIELD-A,SKI-HUBBLE_DEEP_FIELD,mixed_frequency,A,71,88,288,288,192,192,1.5,SKIMAGE_RESIZE_ORDER3_AA_TRUE_SRGB_CODE_VALUES,reference_hr/SKI-HUBBLE_DEEP_FIELD-A_HR.png,input_lr/SKI-HUBBLE_DEEP_FIELD-A_LR.png,e761deb24a3c6cf021450085ab5f3d42bdbef064e3f12f9f04fbaf02bb415f04,dfd760e8bf3874226132128bd28128704b839267352ac7d868a0b5304f156df4
PTAR-PERCEPTUAL-V1-A,SKI-HUBBLE_DEEP_FIELD-B,SKI-HUBBLE_DEEP_FIELD,mixed_frequency,B,356,292,288,288,192,192,1.5,SKIMAGE_RESIZE_ORDER3_AA_TRUE_SRGB_CODE_VALUES,reference_hr/SKI-HUBBLE_DEEP_FIELD-B_HR.png,input_lr/SKI-HUBBLE_DEEP_FIELD-B_LR.png,8b808cc69df8b19d6b9b1c4bc824a724403894ab3f7d2d407a468a0c08ca5084,e43148a80ccefc06115b2056a6dade5b49b9118d8b6f3796a4da98dfa5cfde24
