source_id,source_name,family,license,provenance_note,snapshot_path,width,height,sha256_snapshot,source_kind
SKI-BRICK,brick,texture,CC0,CC0Textures; scikit-image docs state CC0.,source_snapshots/brick.png,512,512,86c06a85b3b53892e04516f854e00d81c70806af0281d2e2fe8a9c3c404f532b,scikit-image-data-0.26.0
SKI-CAMERA,camera,natural_gray,CC0,Photographer Lav Varshney; scikit-image docs state no copyright restrictions / CC0.,source_snapshots/camera.png,512,512,513f15681982b1a9854d0657d7d4e624cecfe91b922ea62eb66b90b632c7a82a,scikit-image-data-0.26.0
SKI-GRASS,grass,foliage_texture,CC0,Original image licensed CC0; scikit-image docs.,source_snapshots/grass.png,512,512,4ae393f85ebd82d2b45c70a9f369f211b5f8470957b0a461e55588d24eecd2ab,scikit-image-data-0.26.0
SKI-GRAVEL,gravel,repeated_texture,CC0,CC0Textures; scikit-image docs state CC0.,source_snapshots/gravel.png,512,512,ff2120a822bd46072d68762ebccc92634b687ad5b8a0afe25a678b0138004679,scikit-image-data-0.26.0
SKI-HORSE,horse,silhouette_edge,CC0,OpenClipart; owner Andreas Preuss; scikit-image docs state CC0.,source_snapshots/horse.png,400,328,1f95869d6b7ea14687bf663baf63d9f1de65f42dd95d948522a11bfdcc0d2748,scikit-image-data-0.26.0
SKI-HUBBLE_DEEP_FIELD,hubble_deep_field,mixed_frequency,PUBLIC_DOMAIN,NASA Hubble image; scikit-image docs state public-domain use.,source_snapshots/hubble_deep_field.png,1000,872,c076bc75b651c3cce159c540b09f6423cabb4ca2cb2d9c5b79215e4e84d6b8ae,scikit-image-data-0.26.0
SKI-RETINA,retina,natural_scientific,CC0,Wikimedia source; scikit-image docs state CC0 1.0/public domain.,source_snapshots/retina.png,1411,1411,9bbb132c05026f097e96770099f3b057717608ec34186cfe7d1f7f5744acf9a8,scikit-image-data-0.26.0
SKI-ROCKET,rocket,natural_edges,PUBLIC_DOMAIN,SpaceX launch image; scikit-image docs state released in public domain.,source_snapshots/rocket.png,640,427,576db6f5369c6b19a78e18d875fa1a26a1fc6165b6bb9665e5b970fae8f8d9d7,scikit-image-data-0.26.0
PTAR-GEN-CHECKER,generated_checker,raster_repeated,PTAR_GENERATED,Deterministically generated by PTAR corpus builder v1.,source_snapshots/generated_checker.png,576,576,8b97b4806dc2b3ff11dae94341f42e8fee5c769153578175f5153163105d83f1,PTAR-generated
PTAR-GEN-DIAGONAL_LINES,generated_diagonal_lines,thin_oblique_edges,PTAR_GENERATED,Deterministically generated by PTAR corpus builder v1.,source_snapshots/generated_diagonal_lines.png,576,576,30268074818fe195c4533e32fd89d62f5a5d1cce292b7a2f9c0efedc449bd9dd,PTAR-generated
PTAR-GEN-RINGS,generated_rings,curves_high_frequency,PTAR_GENERATED,Deterministically generated by PTAR corpus builder v1.,source_snapshots/generated_rings.png,576,576,1ea47a00c6ff851502b2ae83c2f2e3a9ea757daf4b6e4fbc319020f8a6099976,PTAR-generated
PTAR-GEN-PIXELART,generated_pixelart,pixel_art,PTAR_GENERATED,Deterministically generated by PTAR corpus builder v1.,source_snapshots/generated_pixelart.png,576,576,dfce8041d206695f5a3bfb848f5c51e02a37fd8bbf70f94f4582de4a11183b98,PTAR-generated
PTAR-GEN-UI_TEXT,generated_ui_text,ui_text,PTAR_GENERATED,Deterministically generated by PTAR corpus builder v1.,source_snapshots/generated_ui_text.png,576,576,864fbe3fffcc06a0bb89bd8d76ab7f6f3917f2364de739ac834fc4a30905fc9b,PTAR-generated
PTAR-GEN-FREQUENCY_MIX,generated_frequency_mix,mixed_frequency_synthetic,PTAR_GENERATED,Deterministically generated by PTAR corpus builder v1.,source_snapshots/generated_frequency_mix.png,576,576,f1f4196048dd858065ae8ff07e2c1a360c026038b849ef5af00dc4f1bb927b11,PTAR-generated
