pair_index,order,k185_ms,bilinear_ms,delta_k185_minus_bilinear_ms
0,K185_FIRST,0.498016000,0.189984000,0.308032000
1,BILINEAR_FIRST,0.496928000,0.191712000,0.305216000
2,K185_FIRST,0.497088000,0.190208000,0.306880000
3,BILINEAR_FIRST,0.496640000,0.193632000,0.303008000
4,K185_FIRST,0.497888000,0.191328000,0.306560000
5,BILINEAR_FIRST,0.496960000,0.190432000,0.306528000
6,K185_FIRST,0.498048000,0.191904000,0.306144000
7,BILINEAR_FIRST,0.499360000,0.192256000,0.307104000
8,K185_FIRST,0.497312000,0.189152000,0.308160000
9,BILINEAR_FIRST,0.497952000,0.192640000,0.305312000
10,K185_FIRST,0.499264000,0.193056000,0.306208000
11,BILINEAR_FIRST,0.497696000,0.192064000,0.305632000
12,K185_FIRST,0.497632000,0.189376000,0.308256000
13,BILINEAR_FIRST,0.498816000,0.193152000,0.305664000
14,K185_FIRST,0.497984000,0.189504000,0.308480000
15,BILINEAR_FIRST,0.498528000,0.189504000,0.309024000
16,K185_FIRST,0.497376000,0.190208000,0.307168000
17,BILINEAR_FIRST,0.496928000,0.189984000,0.306944000
18,K185_FIRST,0.497888000,0.189568000,0.308320000
19,BILINEAR_FIRST,0.496512000,0.190720000,0.305792000
20,K185_FIRST,0.498496000,0.191936000,0.306560000
21,BILINEAR_FIRST,0.497216000,0.191552000,0.305664000
22,K185_FIRST,0.497952000,0.191712000,0.306240000
23,BILINEAR_FIRST,0.499136000,0.189952000,0.309184000
24,K185_FIRST,0.497984000,0.192352000,0.305632000
25,BILINEAR_FIRST,0.497536000,0.192384000,0.305152000
26,K185_FIRST,0.500320000,0.190272000,0.310048000
27,BILINEAR_FIRST,0.496800000,0.191328000,0.305472000
28,K185_FIRST,0.497600000,0.191840000,0.305760000
29,BILINEAR_FIRST,0.497152000,0.191712000,0.305440000
30,K185_FIRST,0.497952000,0.190240000,0.307712000
31,BILINEAR_FIRST,0.496704000,0.190816000,0.305888000
