pair_index,order,moe_ms,k185_ms,delta_moe_minus_k185_ms
0,MOE_FIRST,0.659072000,0.497888000,0.161184000
1,K185_FIRST,0.655104000,0.497888000,0.157216000
2,MOE_FIRST,0.656160000,0.498272000,0.157888000
3,K185_FIRST,0.654848000,0.498304000,0.156544000
4,MOE_FIRST,0.655104000,0.497600000,0.157504000
5,K185_FIRST,0.654784000,0.498720000,0.156064000
6,MOE_FIRST,0.656000000,0.498432000,0.157568000
7,K185_FIRST,0.655456000,0.498144000,0.157312000
8,MOE_FIRST,0.655104000,0.497696000,0.157408000
9,K185_FIRST,0.654528000,0.497248000,0.157280000
10,MOE_FIRST,0.655392000,0.498464000,0.156928000
11,K185_FIRST,0.655040000,0.498016000,0.157024000
12,MOE_FIRST,0.655360000,0.498656000,0.156704000
13,K185_FIRST,0.655520000,0.498080000,0.157440000
14,MOE_FIRST,0.654880000,0.498304000,0.156576000
15,K185_FIRST,0.654976000,0.497856000,0.157120000
16,MOE_FIRST,0.655680000,0.498048000,0.157632000
17,K185_FIRST,0.654560000,0.497728000,0.156832000
18,MOE_FIRST,0.655680000,0.497952000,0.157728000
19,K185_FIRST,0.654336000,0.497760000,0.156576000
20,MOE_FIRST,0.655072000,0.498336000,0.156736000
21,K185_FIRST,0.654752000,0.498048000,0.156704000
22,MOE_FIRST,0.655328000,0.497952000,0.157376000
23,K185_FIRST,0.654976000,0.497792000,0.157184000
24,MOE_FIRST,0.655904000,0.497440000,0.158464000
25,K185_FIRST,0.655328000,0.497504000,0.157824000
26,MOE_FIRST,0.655584000,0.497888000,0.157696000
27,K185_FIRST,0.654400000,0.499136000,0.155264000
28,MOE_FIRST,0.654912000,0.497728000,0.157184000
29,K185_FIRST,0.655232000,0.498016000,0.157216000
30,MOE_FIRST,0.655040000,0.498752000,0.156288000
31,K185_FIRST,0.655680000,0.497824000,0.157856000
32,MOE_FIRST,0.655200000,0.498464000,0.156736000
33,K185_FIRST,0.655072000,0.498208000,0.156864000
34,MOE_FIRST,0.655328000,0.499680000,0.155648000
35,K185_FIRST,0.656736000,0.497920000,0.158816000
36,MOE_FIRST,0.655744000,0.499744000,0.156000000
37,K185_FIRST,0.655168000,0.500128000,0.155040000
38,MOE_FIRST,0.657792000,0.499808000,0.157984000
39,K185_FIRST,0.655040000,0.498208000,0.156832000
40,MOE_FIRST,0.654976000,0.497920000,0.157056000
41,K185_FIRST,0.655072000,0.498304000,0.156768000
42,MOE_FIRST,0.657280000,0.498752000,0.158528000
43,K185_FIRST,0.656416000,0.500512000,0.155904000
44,MOE_FIRST,0.657056000,0.499264000,0.157792000
45,K185_FIRST,0.656928000,0.498304000,0.158624000
46,MOE_FIRST,0.657408000,0.497792000,0.159616000
47,K185_FIRST,0.656224000,0.501152000,0.155072000
48,MOE_FIRST,0.657728000,0.497664000,0.160064000
49,K185_FIRST,0.654880000,0.498016000,0.156864000
50,MOE_FIRST,0.655424000,0.497536000,0.157888000
51,K185_FIRST,0.655904000,0.497536000,0.158368000
52,MOE_FIRST,0.655840000,0.498176000,0.157664000
53,K185_FIRST,0.655584000,0.497728000,0.157856000
54,MOE_FIRST,0.655200000,0.498112000,0.157088000
55,K185_FIRST,0.655040000,0.498080000,0.156960000
56,MOE_FIRST,0.655328000,0.497568000,0.157760000
57,K185_FIRST,0.653952000,0.498688000,0.155264000
58,MOE_FIRST,0.655712000,0.498432000,0.157280000
59,K185_FIRST,0.654944000,0.497312000,0.157632000
60,MOE_FIRST,0.655328000,0.497632000,0.157696000
61,K185_FIRST,0.654880000,0.497888000,0.156992000
62,MOE_FIRST,0.655360000,0.497696000,0.157664000
63,K185_FIRST,0.654720000,0.497728000,0.156992000
64,MOE_FIRST,0.655392000,0.497504000,0.157888000
65,K185_FIRST,0.654880000,0.498048000,0.156832000
66,MOE_FIRST,0.655296000,0.497600000,0.157696000
67,K185_FIRST,0.655488000,0.497984000,0.157504000
68,MOE_FIRST,0.656224000,0.498112000,0.158112000
69,K185_FIRST,0.654816000,0.497856000,0.156960000
70,MOE_FIRST,0.654880000,0.498272000,0.156608000
71,K185_FIRST,0.655584000,0.498208000,0.157376000
72,MOE_FIRST,0.654880000,0.502080000,0.152800000
73,K185_FIRST,0.655104000,0.497920000,0.157184000
74,MOE_FIRST,0.655616000,0.497984000,0.157632000
75,K185_FIRST,0.656384000,0.497632000,0.158752000
76,MOE_FIRST,0.655776000,0.497728000,0.158048000
77,K185_FIRST,0.654784000,0.498016000,0.156768000
78,MOE_FIRST,0.655744000,0.497632000,0.158112000
