block,first_triad,last_triad,lab28_median_ms,lab29_median_ms,k185_median_ms,paired_lab28_minus_lab29_median_ms
0,0,59,0.564256000,0.538704000,0.497824000,0.025600000
1,60,119,0.564144000,0.538352000,0.497600000,0.025760000
2,120,179,0.564448000,0.538576000,0.497888000,0.025952000
3,180,239,0.813136000,0.799264000,0.699952000,0.014464000
4,240,299,0.813024000,0.799728000,0.699584000,0.012496000
5,300,359,0.813504000,0.799936000,0.698896000,0.014688000
6,360,419,0.812256000,0.799424000,0.700128000,0.013040000
7,420,479,0.811920000,0.798832000,0.699696000,0.013408000
8,480,539,0.813520000,0.799600000,0.699152000,0.014128000
9,540,599,0.813632000,0.799872000,0.698880000,0.013280000
