block,first_triad,last_triad,lab29_median_ms,lab30c_median_ms,k185_median_ms,paired_lab29_minus_lab30c_median_ms
0,0,59,0.538400000,0.515920000,0.497696000,0.022336000
1,60,119,0.538688000,0.516288000,0.497600000,0.022800000
2,120,179,0.541136000,0.520384000,0.500560000,0.022352000
3,180,239,0.799456000,0.776896000,0.700096000,0.022832000
4,240,299,0.800624000,0.776576000,0.700560000,0.023024000
5,300,359,0.798672000,0.777424000,0.701088000,0.021568000
6,360,419,0.800048000,0.777328000,0.700208000,0.023360000
7,420,479,0.800432000,0.775872000,0.701072000,0.023376000
8,480,539,0.799392000,0.777136000,0.701376000,0.022032000
9,540,599,0.799248000,0.777360000,0.700128000,0.021856000
