triad,order0,order1,order2,lab29_ms,lab30c_ms,k185_ms,lab29_minus_lab30c_ms,lab30c_faster
0,LAB29,LAB30C,K185,0.537440000,0.516064000,0.497888000,0.021376000,1
1,LAB29,K185,LAB30C,0.543136000,0.515168000,0.497952000,0.027968000,1
2,LAB30C,LAB29,K185,0.538272000,0.517536000,0.498112000,0.020736000,1
3,LAB30C,K185,LAB29,0.538752000,0.514816000,0.497312000,0.023936000,1
4,K185,LAB29,LAB30C,0.538464000,0.516928000,0.497440000,0.021536000,1
5,K185,LAB30C,LAB29,0.537760000,0.516064000,0.497856000,0.021696000,1
6,LAB29,LAB30C,K185,0.539168000,0.515744000,0.498176000,0.023424000,1
7,LAB29,K185,LAB30C,0.538784000,0.515776000,0.498368000,0.023008000,1
8,LAB30C,LAB29,K185,0.538496000,0.515744000,0.497536000,0.022752000,1
9,LAB30C,K185,LAB29,0.537984000,0.516448000,0.497376000,0.021536000,1
10,K185,LAB29,LAB30C,0.538336000,0.515872000,0.497984000,0.022464000,1
11,K185,LAB30C,LAB29,0.538080000,0.515744000,0.497632000,0.022336000,1
12,LAB29,LAB30C,K185,0.538176000,0.515872000,0.497792000,0.022304000,1
13,LAB29,K185,LAB30C,0.538368000,0.515872000,0.497696000,0.022496000,1
14,LAB30C,LAB29,K185,0.538112000,0.515776000,0.497632000,0.022336000,1
15,LAB30C,K185,LAB29,0.538272000,0.515840000,0.497760000,0.022432000,1
16,K185,LAB29,LAB30C,0.538016000,0.515712000,0.497696000,0.022304000,1
17,K185,LAB30C,LAB29,0.538208000,0.515840000,0.497696000,0.022368000,1
18,LAB29,LAB30C,K185,0.538080000,0.515744000,0.497632000,0.022336000,1
19,LAB29,K185,LAB30C,0.538208000,0.515744000,0.497664000,0.022464000,1
20,LAB30C,LAB29,K185,0.538176000,0.515776000,0.497664000,0.022400000,1
21,LAB30C,K185,LAB29,0.538208000,0.515776000,0.497696000,0.022432000,1
22,K185,LAB29,LAB30C,0.538080000,0.515744000,0.497664000,0.022336000,1
23,K185,LAB30C,LAB29,0.538208000,0.515744000,0.497664000,0.022464000,1
24,LAB29,LAB30C,K185,0.538176000,0.515712000,0.497664000,0.022464000,1
25,LAB29,K185,LAB30C,0.538176000,0.515712000,0.497664000,0.022464000,1
26,LAB30C,LAB29,K185,0.538144000,0.515744000,0.497664000,0.022400000,1
27,LAB30C,K185,LAB29,0.538176000,0.515712000,0.497664000,0.022464000,1
28,K185,LAB29,LAB30C,0.538176000,0.515744000,0.497664000,0.022432000,1
29,K185,LAB30C,LAB29,0.538144000,0.515744000,0.497664000,0.022400000,1
30,LAB29,LAB30C,K185,0.538176000,0.515712000,0.497664000,0.022464000,1
31,LAB29,K185,LAB30C,0.538144000,0.515744000,0.497664000,0.022400000,1
32,LAB30C,LAB29,K185,0.538176000,0.515712000,0.497664000,0.022464000,1
33,LAB30C,K185,LAB29,0.538176000,0.515744000,0.497664000,0.022432000,1
34,K185,LAB29,LAB30C,0.538144000,0.515744000,0.497664000,0.022400000,1
35,K185,LAB30C,LAB29,0.538176000,0.515712000,0.497664000,0.022464000,1
36,LAB29,LAB30C,K185,0.538144000,0.515744000,0.497664000,0.022400000,1
37,LAB29,K185,LAB30C,0.538176000,0.515712000,0.497664000,0.022464000,1
38,LAB30C,LAB29,K185,0.538176000,0.515744000,0.497664000,0.022432000,1
39,LAB30C,K185,LAB29,0.538144000,0.515744000,0.497664000,0.022400000,1
40,K185,LAB29,LAB30C,0.538176000,0.515712000,0.497664000,0.022464000,1
41,K185,LAB30C,LAB29,0.538144000,0.515744000,0.497664000,0.022400000,1
42,LAB29,LAB30C,K185,0.538176000,0.515712000,0.497664000,0.022464000,1
43,LAB29,K185,LAB30C,0.538176000,0.515744000,0.497664000,0.022432000,1
44,LAB30C,LAB29,K185,0.538144000,0.515744000,0.497664000,0.022400000,1
45,LAB30C,K185,LAB29,0.538176000,0.515712000,0.497664000,0.022464000,1
46,K185,LAB29,LAB30C,0.538144000,0.515744000,0.497664000,0.022400000,1
47,K185,LAB30C,LAB29,0.538176000,0.515712000,0.497664000,0.022464000,1
48,LAB29,LAB30C,K185,0.538176000,0.515744000,0.497664000,0.022432000,1
49,LAB29,K185,LAB30C,0.538144000,0.515744000,0.497664000,0.022400000,1
50,LAB30C,LAB29,K185,0.538176000,0.515712000,0.497664000,0.022464000,1
51,LAB30C,K185,LAB29,0.538144000,0.515744000,0.497664000,0.022400000,1
52,K185,LAB29,LAB30C,0.538176000,0.515712000,0.497664000,0.022464000,1
53,K185,LAB30C,LAB29,0.538176000,0.515744000,0.497664000,0.022432000,1
54,LAB29,LAB30C,K185,0.538144000,0.515744000,0.497664000,0.022400000,1
55,LAB29,K185,LAB30C,0.538176000,0.515712000,0.497664000,0.022464000,1
56,LAB30C,LAB29,K185,0.538144000,0.515744000,0.497664000,0.022400000,1
57,LAB30C,K185,LAB29,0.538176000,0.515712000,0.497664000,0.022464000,1
58,K185,LAB29,LAB30C,0.538176000,0.515744000,0.497664000,0.022432000,1
59,K185,LAB30C,LAB29,0.538144000,0.515744000,0.497664000,0.022400000,1
