block,first_triad,last_triad,lab30c_median_ms,lab31g_median_ms,k185_median_ms,paired_lab30c_minus_lab31g_median_ms
0,0,59,0.513600000,0.492352000,0.494560000,0.020720000
1,60,119,0.513584000,0.492480000,0.494560000,0.021296000
2,120,179,0.767824000,0.748240000,0.690768000,0.020624000
3,180,239,0.774672000,0.754256000,0.698320000,0.018512000
4,240,299,0.774848000,0.756560000,0.698352000,0.018352000
5,300,359,0.775216000,0.755232000,0.698592000,0.020944000
6,360,419,0.774928000,0.754768000,0.697168000,0.020000000
7,420,479,0.775072000,0.755248000,0.696608000,0.019776000
8,480,539,0.774928000,0.756368000,0.696976000,0.019184000
9,540,599,0.773408000,0.755408000,0.697632000,0.018064000
