block,first_triad,last_triad,lab31g_median_ms,lab32b_median_ms,k185_median_ms,paired_lab31g_minus_lab32b_median_ms
0,0,59,0.495152000,0.495136000,0.497760000,-0.000528000
1,60,119,0.495280000,0.495136000,0.498000000,-0.000256000
2,120,179,0.497824000,0.497216000,0.501232000,0.000896000
3,180,239,0.756672000,0.754592000,0.701056000,0.002608000
4,240,299,0.758192000,0.753376000,0.700752000,0.005168000
5,300,359,0.759904000,0.754864000,0.700992000,0.005664000
6,360,419,0.758192000,0.754752000,0.701408000,0.003456000
7,420,479,0.757200000,0.754416000,0.700608000,0.003408000
8,480,539,0.759376000,0.753456000,0.701072000,0.005648000
9,540,599,0.758752000,0.753904000,0.700400000,0.005728000
