triad,order0,order1,order2,lab31g_ms,lab32b_ms,k185_ms,lab31g_minus_lab32b_ms,lab32b_faster
0,LAB31G,LAB32B,K185,0.495072000,0.492896000,0.497952000,0.002176000,1
1,LAB31G,K185,LAB32B,0.493696000,0.497088000,0.500832000,-0.003392000,0
2,LAB32B,LAB31G,K185,0.494112000,0.495328000,0.497728000,-0.001216000,0
3,LAB32B,K185,LAB31G,0.496512000,0.497120000,0.497024000,-0.000608000,0
4,K185,LAB31G,LAB32B,0.493952000,0.491968000,0.495744000,0.001984000,1
5,K185,LAB32B,LAB31G,0.495552000,0.495264000,0.498752000,0.000288000,1
6,LAB31G,LAB32B,K185,0.495264000,0.496160000,0.501376000,-0.000896000,0
7,LAB31G,K185,LAB32B,0.496064000,0.495520000,0.497920000,0.000544000,1
8,LAB32B,LAB31G,K185,0.492960000,0.492448000,0.496704000,0.000512000,1
9,LAB32B,K185,LAB31G,0.495712000,0.495296000,0.498528000,0.000416000,1
10,K185,LAB31G,LAB32B,0.495424000,0.495680000,0.497664000,-0.000256000,0
11,K185,LAB32B,LAB31G,0.493600000,0.492512000,0.497056000,0.001088000,1
12,LAB31G,LAB32B,K185,0.495584000,0.495040000,0.498784000,0.000544000,1
13,LAB31G,K185,LAB32B,0.495584000,0.495008000,0.499040000,0.000576000,1
14,LAB32B,LAB31G,K185,0.494784000,0.494016000,0.497248000,0.000768000,1
15,LAB32B,K185,LAB31G,0.494528000,0.494208000,0.498560000,0.000320000,1
16,K185,LAB31G,LAB32B,0.495104000,0.494848000,0.497952000,0.000256000,1
17,K185,LAB32B,LAB31G,0.495232000,0.494752000,0.497344000,0.000480000,1
18,LAB31G,LAB32B,K185,0.496096000,0.495232000,0.497600000,0.000864000,1
19,LAB31G,K185,LAB32B,0.494528000,0.495680000,0.497920000,-0.001152000,0
20,LAB32B,LAB31G,K185,0.493504000,0.495040000,0.497088000,-0.001536000,0
21,LAB32B,K185,LAB31G,0.495008000,0.495232000,0.498112000,-0.000224000,0
22,K185,LAB31G,LAB32B,0.494944000,0.495264000,0.498144000,-0.000320000,0
23,K185,LAB32B,LAB31G,0.496192000,0.495552000,0.497248000,0.000640000,1
24,LAB31G,LAB32B,K185,0.494816000,0.493984000,0.497760000,0.000832000,1
25,LAB31G,K185,LAB32B,0.495872000,0.496576000,0.499456000,-0.000704000,0
26,LAB32B,LAB31G,K185,0.496256000,0.495584000,0.496800000,0.000672000,1
27,LAB32B,K185,LAB31G,0.496000000,0.495776000,0.497600000,0.000224000,1
28,K185,LAB31G,LAB32B,0.495616000,0.496768000,0.499232000,-0.001152000,0
29,K185,LAB32B,LAB31G,0.493920000,0.495104000,0.497376000,-0.001184000,0
30,LAB31G,LAB32B,K185,0.495040000,0.495328000,0.497056000,-0.000288000,0
31,LAB31G,K185,LAB32B,0.496288000,0.495776000,0.500576000,0.000512000,1
32,LAB32B,LAB31G,K185,0.495488000,0.495552000,0.497664000,-0.000064000,0
33,LAB32B,K185,LAB31G,0.496096000,0.496000000,0.497248000,0.000096000,1
34,K185,LAB31G,LAB32B,0.494336000,0.494592000,0.496960000,-0.000256000,0
35,K185,LAB32B,LAB31G,0.494464000,0.494240000,0.497984000,0.000224000,1
36,LAB31G,LAB32B,K185,0.494720000,0.495296000,0.497760000,-0.000576000,0
37,LAB31G,K185,LAB32B,0.495264000,0.495584000,0.498592000,-0.000320000,0
38,LAB32B,LAB31G,K185,0.494816000,0.495008000,0.499040000,-0.000192000,0
39,LAB32B,K185,LAB31G,0.494976000,0.494656000,0.496928000,0.000320000,1
40,K185,LAB31G,LAB32B,0.495424000,0.495040000,0.498048000,0.000384000,1
41,K185,LAB32B,LAB31G,0.495936000,0.495008000,0.497120000,0.000928000,1
42,LAB31G,LAB32B,K185,0.493888000,0.495552000,0.498336000,-0.001664000,0
43,LAB31G,K185,LAB32B,0.495936000,0.495040000,0.497440000,0.000896000,1
44,LAB32B,LAB31G,K185,0.495584000,0.494976000,0.497920000,0.000608000,1
45,LAB32B,K185,LAB31G,0.494784000,0.495008000,0.498240000,-0.000224000,0
46,K185,LAB31G,LAB32B,0.494656000,0.494336000,0.497248000,0.000320000,1
47,K185,LAB32B,LAB31G,0.495264000,0.495264000,0.498336000,0.000000000,0
48,LAB31G,LAB32B,K185,0.494304000,0.494752000,0.498016000,-0.000448000,0
49,LAB31G,K185,LAB32B,0.495552000,0.495328000,0.497248000,0.000224000,1
50,LAB32B,LAB31G,K185,0.495584000,0.494848000,0.497664000,0.000736000,1
51,LAB32B,K185,LAB31G,0.494688000,0.494944000,0.497952000,-0.000256000,0
52,K185,LAB31G,LAB32B,0.495104000,0.495456000,0.498272000,-0.000352000,0
53,K185,LAB32B,LAB31G,0.495520000,0.494816000,0.499104000,0.000704000,1
54,LAB31G,LAB32B,K185,0.495264000,0.495456000,0.497696000,-0.000192000,0
55,LAB31G,K185,LAB32B,0.494624000,0.494976000,0.498176000,-0.000352000,0
56,LAB32B,LAB31G,K185,0.494720000,0.495200000,0.497696000,-0.000480000,0
57,LAB32B,K185,LAB31G,0.495008000,0.495264000,0.497984000,-0.000256000,0
58,K185,LAB31G,LAB32B,0.495520000,0.495104000,0.496864000,0.000416000,1
59,K185,LAB32B,LAB31G,0.495200000,0.495232000,0.498592000,-0.000032000,0
60,LAB31G,LAB32B,K185,0.494528000,0.493952000,0.498208000,0.000576000,1
61,LAB31G,K185,LAB32B,0.495040000,0.495104000,0.497504000,-0.000064000,0
62,LAB32B,LAB31G,K185,0.494816000,0.495200000,0.497440000,-0.000384000,0
63,LAB32B,K185,LAB31G,0.495296000,0.495136000,0.496832000,0.000160000,1
64,K185,LAB31G,LAB32B,0.495648000,0.495424000,0.498016000,0.000224000,1
65,K185,LAB32B,LAB31G,0.494304000,0.495104000,0.498560000,-0.000800000,0
66,LAB31G,LAB32B,K185,0.495040000,0.494528000,0.497728000,0.000512000,1
67,LAB31G,K185,LAB32B,0.494816000,0.494816000,0.498144000,0.000000000,0
68,LAB32B,LAB31G,K185,0.494848000,0.494880000,0.497472000,-0.000032000,0
69,LAB32B,K185,LAB31G,0.494880000,0.495040000,0.498208000,-0.000160000,0
70,K185,LAB31G,LAB32B,0.495488000,0.495168000,0.497312000,0.000320000,1
71,K185,LAB32B,LAB31G,0.495616000,0.495392000,0.498848000,0.000224000,1
72,LAB31G,LAB32B,K185,0.495200000,0.495264000,0.498240000,-0.000064000,0
73,LAB31G,K185,LAB32B,0.495104000,0.495360000,0.498400000,-0.000256000,0
74,LAB32B,LAB31G,K185,0.495680000,0.495392000,0.497216000,0.000288000,1
75,LAB32B,K185,LAB31G,0.495200000,0.495264000,0.498464000,-0.000064000,0
76,K185,LAB31G,LAB32B,0.494816000,0.494816000,0.498752000,0.000000000,0
77,K185,LAB32B,LAB31G,0.494752000,0.495040000,0.497344000,-0.000288000,0
78,LAB31G,LAB32B,K185,0.495008000,0.495104000,0.497504000,-0.000096000,0
79,LAB31G,K185,LAB32B,0.494848000,0.495136000,0.498688000,-0.000288000,0
80,LAB32B,LAB31G,K185,0.495328000,0.495136000,0.497504000,0.000192000,1
81,LAB32B,K185,LAB31G,0.495040000,0.495040000,0.497472000,0.000000000,0
82,K185,LAB31G,LAB32B,0.495104000,0.495232000,0.498496000,-0.000128000,0
83,K185,LAB32B,LAB31G,0.495008000,0.494848000,0.497344000,0.000160000,1
84,LAB31G,LAB32B,K185,0.495200000,0.494976000,0.497600000,0.000224000,1
85,LAB31G,K185,LAB32B,0.495008000,0.495008000,0.497600000,0.000000000,0
86,LAB32B,LAB31G,K185,0.495200000,0.495104000,0.497504000,0.000096000,1
87,LAB32B,K185,LAB31G,0.494816000,0.494976000,0.497536000,-0.000160000,0
88,K185,LAB31G,LAB32B,0.495072000,0.495104000,0.498496000,-0.000032000,0
89,K185,LAB32B,LAB31G,0.495072000,0.494976000,0.497408000,0.000096000,1
90,LAB31G,LAB32B,K185,0.495072000,0.495008000,0.497568000,0.000064000,1
91,LAB31G,K185,LAB32B,0.494976000,0.495264000,0.498624000,-0.000288000,0
92,LAB32B,LAB31G,K185,0.494976000,0.495072000,0.497504000,-0.000096000,0
93,LAB32B,K185,LAB31G,0.495232000,0.495104000,0.497440000,0.000128000,1
94,K185,LAB31G,LAB32B,0.495136000,0.495040000,0.497472000,0.000096000,1
95,K185,LAB32B,LAB31G,0.495104000,0.495200000,0.498432000,-0.000096000,0
96,LAB31G,LAB32B,K185,0.495168000,0.495008000,0.497568000,0.000160000,1
97,LAB31G,K185,LAB32B,0.495104000,0.495232000,0.498528000,-0.000128000,0
98,LAB32B,LAB31G,K185,0.495232000,0.495136000,0.497536000,0.000096000,1
99,LAB32B,K185,LAB31G,0.495168000,0.495200000,0.497632000,-0.000032000,0
100,K185,LAB31G,LAB32B,0.495136000,0.495168000,0.498336000,-0.000032000,0
101,K185,LAB32B,LAB31G,0.495136000,0.495200000,0.497504000,-0.000064000,0
102,LAB31G,LAB32B,K185,0.495072000,0.495104000,0.497600000,-0.000032000,0
103,LAB31G,K185,LAB32B,0.495104000,0.495264000,0.498592000,-0.000160000,0
104,LAB32B,LAB31G,K185,0.495136000,0.495136000,0.497568000,0.000000000,0
105,LAB32B,K185,LAB31G,0.495136000,0.495168000,0.497536000,-0.000032000,0
106,K185,LAB31G,LAB32B,0.495168000,0.495136000,0.498464000,0.000032000,1
107,K185,LAB32B,LAB31G,0.495232000,0.495104000,0.497536000,0.000128000,1
108,LAB31G,LAB32B,K185,0.495136000,0.495104000,0.497536000,0.000032000,1
109,LAB31G,K185,LAB32B,0.495136000,0.495200000,0.498592000,-0.000064000,0
110,LAB32B,LAB31G,K185,0.495136000,0.495136000,0.497504000,0.000000000,0
111,LAB32B,K185,LAB31G,0.495168000,0.495168000,0.497568000,0.000000000,0
112,K185,LAB31G,LAB32B,0.495168000,0.495168000,0.498560000,0.000000000,0
113,K185,LAB32B,LAB31G,0.495168000,0.495136000,0.497568000,0.000032000,1
114,LAB31G,LAB32B,K185,0.495168000,0.495104000,0.497536000,0.000064000,1
115,LAB31G,K185,LAB32B,0.495168000,0.495200000,0.498560000,-0.000032000,0
116,LAB32B,LAB31G,K185,0.495168000,0.495136000,0.497536000,0.000032000,1
117,LAB32B,K185,LAB31G,0.495168000,0.495168000,0.497568000,0.000000000,0
118,K185,LAB31G,LAB32B,0.495136000,0.495136000,0.498560000,0.000000000,0
119,K185,LAB32B,LAB31G,0.495136000,0.495168000,0.497568000,-0.000032000,0
120,LAB31G,LAB32B,K185,0.495168000,0.495168000,0.497568000,0.000000000,0
121,LAB31G,K185,LAB32B,0.495200000,0.495200000,0.498592000,0.000000000,0
122,LAB32B,LAB31G,K185,0.495200000,0.495136000,0.497568000,0.000064000,1
123,LAB32B,K185,LAB31G,0.495200000,0.495200000,0.497568000,0.000000000,0
124,K185,LAB31G,LAB32B,0.495200000,0.495168000,0.498560000,0.000032000,1
125,K185,LAB32B,LAB31G,0.495168000,0.495168000,0.497536000,0.000000000,0
126,LAB31G,LAB32B,K185,0.495200000,0.495168000,0.497536000,0.000032000,1
127,LAB31G,K185,LAB32B,0.495168000,0.495200000,0.498592000,-0.000032000,0
128,LAB32B,LAB31G,K185,0.495200000,0.495168000,0.497536000,0.000032000,1
129,LAB32B,K185,LAB31G,0.495200000,0.495168000,0.497536000,0.000032000,1
130,K185,LAB31G,LAB32B,0.495168000,0.495168000,0.498560000,0.000000000,0
131,K185,LAB32B,LAB31G,0.495200000,0.495200000,0.497568000,0.000000000,0
132,LAB31G,LAB32B,K185,0.495200000,0.495168000,0.497536000,0.000032000,1
133,LAB31G,K185,LAB32B,0.495200000,0.495200000,0.498592000,0.000000000,0
134,LAB32B,LAB31G,K185,0.495200000,0.495200000,0.497536000,0.000000000,0
135,LAB32B,K185,LAB31G,0.495200000,0.495200000,0.497536000,0.000000000,0
136,K185,LAB31G,LAB32B,0.495200000,0.495200000,0.498592000,0.000000000,0
137,K185,LAB32B,LAB31G,0.495200000,0.495200000,0.497568000,0.000000000,0
138,LAB31G,LAB32B,K185,0.495232000,0.495168000,0.497536000,0.000064000,1
139,LAB31G,K185,LAB32B,0.495200000,0.495200000,0.498592000,0.000000000,0
140,LAB32B,LAB31G,K185,0.495200000,0.495200000,0.497536000,0.000000000,0
141,LAB32B,K185,LAB31G,0.495200000,0.495200000,0.497536000,0.000000000,0
142,K185,LAB31G,LAB32B,0.495232000,0.495200000,0.498560000,0.000032000,1
143,K185,LAB32B,LAB31G,0.495200000,0.495200000,0.497568000,0.000000000,0
144,LAB31G,LAB32B,K185,0.495200000,0.495168000,0.497568000,0.000032000,1
145,LAB31G,K185,LAB32B,0.495200000,0.495232000,0.498592000,-0.000032000,0
146,LAB32B,LAB31G,K185,0.495232000,0.495200000,0.497536000,0.000032000,1
147,LAB32B,K185,LAB31G,0.495200000,0.495200000,0.497536000,0.000000000,0
148,K185,LAB31G,LAB32B,0.495200000,0.495200000,0.498560000,0.000000000,0
149,K185,LAB32B,LAB31G,0.495200000,0.495200000,0.497568000,0.000000000,0
150,LAB31G,LAB32B,K185,0.498816000,0.497472000,0.501504000,0.001344000,1
151,LAB31G,K185,LAB32B,0.497792000,0.498176000,0.500768000,-0.000384000,0
152,LAB32B,LAB31G,K185,0.498464000,0.493952000,0.497248000,0.004512000,1
153,LAB32B,K185,LAB31G,0.496544000,0.493664000,0.497376000,0.002880000,1
154,K185,LAB31G,LAB32B,0.496640000,0.497728000,0.499232000,-0.001088000,0
155,K185,LAB32B,LAB31G,0.493120000,0.498432000,0.501248000,-0.005312000,0
156,LAB31G,LAB32B,K185,0.494912000,0.495680000,0.501824000,-0.000768000,0
157,LAB31G,K185,LAB32B,0.495232000,0.496288000,0.501440000,-0.001056000,0
