block,first_triad,last_triad,lab31g_median_ms,lab32c_median_ms,k185_median_ms,paired_lab31g_minus_lab32c_median_ms
0,0,59,0.491552000,0.495168000,0.497744000,-0.003616000
1,60,119,0.491552000,0.494544000,0.494784000,-0.002992000
2,120,179,0.497600000,0.498144000,0.594768000,-0.000544000
3,180,239,0.752288000,0.753200000,0.698736000,-0.000912000
4,240,299,0.751968000,0.753712000,0.698752000,-0.001744000
5,300,359,0.751776000,0.751904000,0.699904000,-0.000128000
6,360,419,0.751488000,0.752080000,0.699504000,-0.000592000
7,420,479,0.751168000,0.752528000,0.698608000,-0.001360000
8,480,539,0.750848000,0.752192000,0.697280000,-0.001344000
9,540,599,0.750528000,0.751936000,0.698048000,-0.001408000
