triad,order0,order1,order2,lab31g_ms,lab32c_ms,k185_ms,lab31g_minus_lab32c_ms,lab32c_faster
0,LAB31G,LAB32C,K185,0.493824000,0.498944000,0.497888000,-0.005120000,0
1,LAB31G,K185,LAB32C,0.493984000,0.498400000,0.497056000,-0.004416000,0
2,LAB32C,LAB31G,K185,0.493408000,0.495552000,0.498112000,-0.002144000,0
3,LAB32C,K185,LAB31G,0.495456000,0.495936000,0.497472000,-0.000480000,0
4,K185,LAB31G,LAB32C,0.493088000,0.497856000,0.497504000,-0.004768000,0
5,K185,LAB32C,LAB31G,0.492800000,0.496320000,0.498112000,-0.003520000,0
6,LAB31G,LAB32C,K185,0.493824000,0.496960000,0.498112000,-0.003136000,0
7,LAB31G,K185,LAB32C,0.492224000,0.496832000,0.495488000,-0.004608000,0
8,LAB32C,LAB31G,K185,0.494080000,0.495136000,0.495584000,-0.001056000,0
9,LAB32C,K185,LAB31G,0.493152000,0.495232000,0.494976000,-0.002080000,0
10,K185,LAB31G,LAB32C,0.493056000,0.495808000,0.495648000,-0.002752000,0
11,K185,LAB32C,LAB31G,0.492896000,0.495168000,0.494432000,-0.002272000,0
12,LAB31G,LAB32C,K185,0.492448000,0.495840000,0.495136000,-0.003392000,0
13,LAB31G,K185,LAB32C,0.493344000,0.498080000,0.495456000,-0.004736000,0
14,LAB32C,LAB31G,K185,0.493184000,0.496160000,0.495680000,-0.002976000,0
15,LAB32C,K185,LAB31G,0.491744000,0.494496000,0.493888000,-0.002752000,0
16,K185,LAB31G,LAB32C,0.491776000,0.494816000,0.493664000,-0.003040000,0
17,K185,LAB32C,LAB31G,0.491616000,0.494368000,0.493824000,-0.002752000,0
18,LAB31G,LAB32C,K185,0.491520000,0.494496000,0.493600000,-0.002976000,0
19,LAB31G,K185,LAB32C,0.492128000,0.495200000,0.493792000,-0.003072000,0
20,LAB32C,LAB31G,K185,0.491552000,0.493856000,0.493536000,-0.002304000,0
21,LAB32C,K185,LAB31G,0.491488000,0.494560000,0.493760000,-0.003072000,0
22,K185,LAB31G,LAB32C,0.491520000,0.494624000,0.493824000,-0.003104000,0
23,K185,LAB32C,LAB31G,0.491360000,0.494656000,0.493952000,-0.003296000,0
24,LAB31G,LAB32C,K185,0.491520000,0.494624000,0.493568000,-0.003104000,0
25,LAB31G,K185,LAB32C,0.491424000,0.494944000,0.493888000,-0.003520000,0
26,LAB32C,LAB31G,K185,0.491648000,0.494144000,0.493856000,-0.002496000,0
27,LAB32C,K185,LAB31G,0.491392000,0.494432000,0.493696000,-0.003040000,0
28,K185,LAB31G,LAB32C,0.491520000,0.494656000,0.493888000,-0.003136000,0
29,K185,LAB32C,LAB31G,0.491392000,0.494656000,0.493984000,-0.003264000,0
30,LAB31G,LAB32C,K185,0.491520000,0.494656000,0.493600000,-0.003136000,0
31,LAB31G,K185,LAB32C,0.491392000,0.494816000,0.493984000,-0.003424000,0
32,LAB32C,LAB31G,K185,0.491584000,0.494048000,0.493824000,-0.002464000,0
33,LAB32C,K185,LAB31G,0.491424000,0.494432000,0.493760000,-0.003008000,0
34,K185,LAB31G,LAB32C,0.491520000,0.494688000,0.493920000,-0.003168000,0
35,K185,LAB32C,LAB31G,0.491424000,0.494656000,0.493984000,-0.003232000,0
36,LAB31G,LAB32C,K185,0.491552000,0.494656000,0.493600000,-0.003104000,0
37,LAB31G,K185,LAB32C,0.491392000,0.494784000,0.493984000,-0.003392000,0
38,LAB32C,LAB31G,K185,0.491552000,0.494048000,0.493792000,-0.002496000,0
39,LAB32C,K185,LAB31G,0.491392000,0.494400000,0.493760000,-0.003008000,0
40,K185,LAB31G,LAB32C,0.491520000,0.494656000,0.493920000,-0.003136000,0
41,K185,LAB32C,LAB31G,0.491392000,0.494624000,0.493984000,-0.003232000,0
42,LAB31G,LAB32C,K185,0.491552000,0.494656000,0.493600000,-0.003104000,0
43,LAB31G,K185,LAB32C,0.491392000,0.494784000,0.493984000,-0.003392000,0
44,LAB32C,LAB31G,K185,0.491552000,0.494048000,0.493824000,-0.002496000,0
45,LAB32C,K185,LAB31G,0.491392000,0.494432000,0.493760000,-0.003040000,0
46,K185,LAB31G,LAB32C,0.491520000,0.494688000,0.493920000,-0.003168000,0
47,K185,LAB32C,LAB31G,0.491392000,0.494656000,0.493984000,-0.003264000,0
48,LAB31G,LAB32C,K185,0.491552000,0.494656000,0.493600000,-0.003104000,0
49,LAB31G,K185,LAB32C,0.491392000,0.494784000,0.493984000,-0.003392000,0
50,LAB32C,LAB31G,K185,0.491552000,0.494048000,0.493792000,-0.002496000,0
51,LAB32C,K185,LAB31G,0.491392000,0.494400000,0.493760000,-0.003008000,0
52,K185,LAB31G,LAB32C,0.491520000,0.494656000,0.493920000,-0.003136000,0
53,K185,LAB32C,LAB31G,0.491392000,0.494624000,0.493984000,-0.003232000,0
54,LAB31G,LAB32C,K185,0.491552000,0.494656000,0.493600000,-0.003104000,0
55,LAB31G,K185,LAB32C,0.491392000,0.494784000,0.493984000,-0.003392000,0
56,LAB32C,LAB31G,K185,0.491552000,0.494048000,0.493824000,-0.002496000,0
57,LAB32C,K185,LAB31G,0.491392000,0.494432000,0.493760000,-0.003040000,0
58,K185,LAB31G,LAB32C,0.491520000,0.494688000,0.493920000,-0.003168000,0
59,K185,LAB32C,LAB31G,0.491392000,0.494656000,0.493984000,-0.003264000,0
60,LAB31G,LAB32C,K185,0.491552000,0.494656000,0.493600000,-0.003104000,0
61,LAB31G,K185,LAB32C,0.491392000,0.494784000,0.493984000,-0.003392000,0
62,LAB32C,LAB31G,K185,0.491552000,0.494048000,0.493824000,-0.002496000,0
63,LAB32C,K185,LAB31G,0.491392000,0.494432000,0.493760000,-0.003040000,0
64,K185,LAB31G,LAB32C,0.491520000,0.494688000,0.493920000,-0.003168000,0
65,K185,LAB32C,LAB31G,0.491392000,0.494656000,0.493984000,-0.003264000,0
66,LAB31G,LAB32C,K185,0.491552000,0.494656000,0.493600000,-0.003104000,0
67,LAB31G,K185,LAB32C,0.491392000,0.494784000,0.493984000,-0.003392000,0
