block,first_triad,last_triad,lab36b_median_ms,lab37b_median_ms,k185_median_ms,paired_lab36b_minus_lab37b_median_ms
0,0,59,0.486896000,0.479312000,0.494720000,0.007760000
1,60,119,0.486864000,0.478880000,0.494480000,0.007712000
2,120,179,0.487616000,0.480080000,0.495184000,0.007664000
3,180,239,0.740784000,0.721024000,0.698592000,0.019552000
4,240,299,0.739184000,0.719440000,0.698192000,0.019808000
5,300,359,0.739536000,0.721040000,0.697840000,0.019056000
6,360,419,0.740848000,0.720864000,0.697968000,0.019472000
7,420,479,0.739552000,0.720448000,0.697904000,0.018752000
8,480,539,0.739872000,0.721200000,0.698208000,0.017968000
9,540,599,0.740064000,0.721024000,0.698528000,0.020240000
