block,first_triad,last_triad,lab37b_median_ms,lab38a_median_ms,k185_median_ms,paired_lab37b_minus_lab38a_median_ms
0,0,59,0.480416000,0.475104000,0.497472000,0.005152000
1,60,119,0.480896000,0.474976000,0.497568000,0.006000000
2,120,179,0.481984000,0.475920000,0.498176000,0.006928000
3,180,239,0.724912000,0.708432000,0.702064000,0.015808000
4,240,299,0.725984000,0.707504000,0.703408000,0.017136000
5,300,359,0.726816000,0.708272000,0.703072000,0.019456000
6,360,419,0.730064000,0.716784000,0.710240000,0.021696000
7,420,479,1.484384000,1.451616000,1.440864000,0.032288000
8,480,539,1.482704000,1.451616000,1.441024000,0.029792000
9,540,599,2.188512000,2.164576000,2.329632000,0.024496000
