block,first_triad,last_triad,lab38a_median_ms,lab47a_median_ms,k185_median_ms,paired_lab38a_minus_lab47a_median_ms
0,0,59,0.473888000,0.459408000,0.494640000,0.014368000
1,60,119,0.474064000,0.459104000,0.494576000,0.014496000
2,120,179,0.476624000,0.461616000,0.495904000,0.015280000
3,180,239,0.701264000,0.681712000,0.698432000,0.019920000
4,240,299,0.703360000,0.682368000,0.697856000,0.021712000
5,300,359,0.703360000,0.682592000,0.698048000,0.020368000
6,360,419,0.705968000,0.685760000,0.701056000,0.024448000
7,420,479,1.452336000,1.405888000,1.440416000,0.044880000
8,480,539,1.454032000,1.404000000,1.440448000,0.048896000
9,540,599,2.165392000,2.122128000,2.329216000,0.044672000
